offer_id,title,city,description,salary-month,salary-hour,company,url
1005083247,Business Operation Partner w Webcon,Kraków,"Twój zakres obowiązków, Przygotowywanie i weryfikacja ofert oraz zamówień dla klientów z zachowaniem zgodności z polityką cenową i zasadami rabatowania, Obsługa procesów zakupowych po stronie klienta (praca w systemach zakupowych, portalach...",,,WEBCON S.A.,"https://www.pracuj.pl/praca/business-operation-partner-w-webcon-krakow,oferta,1005083247"
1005107646,SAP ABAP Engineering Manager,Warszawa,"We are seeking an experienced SAP ABAP Engineering Manager to join our international team., , In this role, you will analyze business requirements, de...",,,EPAM Systems (Poland) sp. z o.o.,"https://www.pracuj.pl/praca/sap-abap-engineering-manager-warszawa,oferta,1005107646"
1005107645,Senior Consultant - Data Management & Governance,Warszawa,"We are seeking thought leaders with profound consulting and technology expertise to address our clients' most challenging technology, strategy and tra...",,,EPAM Systems (Poland) sp. z o.o.,"https://www.pracuj.pl/praca/senior-consultant-data-management-governance-warszawa,oferta,1005107645"
1005083237,Senior AI Solutions Engineer with Python,Miejsce pracy : Cała Polska (praca zdalna) Siedziba firmy : Warszawa,"We are seeking a highly skilled Senior or Lead AI Engineer with experience in Python, willing to join a Project for one of our Key Clients., , This po...",,,EPAM Systems (Poland) sp. z o.o.,"https://www.pracuj.pl/praca/senior-ai-solutions-engineer-with-python-warszawa,oferta,1005083237"
1005116347,Kierownik / Kierowniczka działu IT,Słupca,"Twój zakres obowiązków, Kierowanie pracą zespołu IT (2-3 os.) oraz wyznaczanie priorytetów i celów działu, Projektowanie, wdrażanie i rozwój infrastruktury oraz systemów informatycznych wspierających działalność firmy, Utrzymanie i rozwój...",,,WATIS sp. z o.o.,"https://www.pracuj.pl/praca/kierownik-kierowniczka-dzialu-it-slupca,oferta,1005116347"
1005107628,Manager - AI Consulting,Warszawa,"We are seeking an experienced Manager, AI Consulting, to join our team., , In this role, you will leverage your deep expertise in data science to desi...",,,EPAM Systems (Poland) sp. z o.o.,"https://www.pracuj.pl/praca/manager-ai-consulting-warszawa,oferta,1005107628"
1005083223,Senior Python MCP Engineer,"Miejsce pracy : Cała Polska (praca zdalna) Siedziba firmy : Kraków, Grzegórzki","We are looking for a Senior Python MCP Engineer to join our team building an Enterprise Agent Development Platform — a production-grade, cloud-native ...",,,EPAM Systems (Poland) sp. z o.o.,"https://www.pracuj.pl/praca/senior-python-mcp-engineer-krakow-fabryczna-1a,oferta,1005083223"
1005073686,Informatyk / Informatyczka,Konin,"Twój zakres obowiązków, Implementacja monitoringu systemów, serwerów, sieci, aplikacji, Lokalne i zdalne wsparcie techniczne dla pracowników, Konfiguracja i administracja serwerami, routerami, przełącznikami, urządzeniami brzegowymi, Monitorowanie...",,,BANK SPÓŁDZIELCZY W KONINIE,"https://www.pracuj.pl/praca/informatyk-informatyczka-konin-bankowa-3,oferta,1005073686"
1005083190,(Starsza_y) Ekspertka / Ekspert w Zespole Rozwoju i Wsparcia Inwestycji w Obszarze ICT/OT,"Warszawa, Śródmieście","Twój zakres obowiązków, Projektowanie architektury rozwiązań ICT, OT i Cybersecurity dla strategicznych projektów inwestycyjnych realizowanych w Grupie PGE;, Opracowywanie koncepcji technicznych oraz docelowych architektur dla nowych usług,...",,,PGE Polska Grupa Energetyczna S.A.,"https://www.pracuj.pl/praca/starsza-y-ekspertka-ekspert-w-zespole-rozwoju-i-wsparcia-inwestycji-w-obszarze-i-warszawa-mysia-2,oferta,1005083190"
1005107589,Senior Data Delivery Manager (Engagement Lead),Warszawa,Join us as a Senior Data Delivery Manager and become the trusted Engagement Lead for enterprise-scale data and AI programs. You’ll steer engagements t...,,,EPAM Systems (Poland) sp. z o.o.,"https://www.pracuj.pl/praca/senior-data-delivery-manager-engagement-lead-warszawa,oferta,1005107589"
